Datetime,Forecast_MW
2018-08-03 01:00:00,13908.379777983002
2018-08-03 02:00:00,13212.019649031561
2018-08-03 03:00:00,12823.68306559097
2018-08-03 04:00:00,12575.956416698204
2018-08-03 05:00:00,12629.811785002365
2018-08-03 06:00:00,13038.612358187862
2018-08-03 07:00:00,13692.356943567504
2018-08-03 08:00:00,14282.144672288487
2018-08-03 09:00:00,14901.002179558744
2018-08-03 10:00:00,15498.821479056383
2018-08-03 11:00:00,16250.504300356688
2018-08-03 12:00:00,16856.19907441652
2018-08-03 13:00:00,17501.42875747206
2018-08-03 14:00:00,18052.45677671552
2018-08-03 15:00:00,18426.71401223917
2018-08-03 16:00:00,18636.504246740486
2018-08-03 17:00:00,18715.712067011125
2018-08-03 18:00:00,18574.095554230713
2018-08-03 19:00:00,18214.386209992725
2018-08-03 20:00:00,17736.890227553187
2018-08-03 21:00:00,17270.862392365718
2018-08-03 22:00:00,16923.103295197456
2018-08-03 23:00:00,15917.565381562552
2018-08-04 00:00:00,14742.135255085228
2018-08-04 01:00:00,13813.42148340693
2018-08-04 02:00:00,13129.116285742954
2018-08-04 03:00:00,12707.672293459898
2018-08-04 04:00:00,12457.707410147905
2018-08-04 05:00:00,12482.238003053884
2018-08-04 06:00:00,12843.874688015598
2018-08-04 07:00:00,13437.64028716813
2018-08-04 08:00:00,14012.918533246559
2018-08-04 09:00:00,14676.204319324503
2018-08-04 10:00:00,15324.65334479653
2018-08-04 11:00:00,16055.229738953194
2018-08-04 12:00:00,16642.948660281854
2018-08-04 13:00:00,17227.220487345632
2018-08-04 14:00:00,17726.60973440311
2018-08-04 15:00:00,18039.340476775662
2018-08-04 16:00:00,18201.52538299513
2018-08-04 17:00:00,18290.170923931702
2018-08-04 18:00:00,18243.756955505236
2018-08-04 19:00:00,17927.804358477275
2018-08-04 20:00:00,17469.14547245517
2018-08-04 21:00:00,17017.87355416338
2018-08-04 22:00:00,16669.58556487246
2018-08-04 23:00:00,15691.338542570958
2018-08-05 00:00:00,14518.652961685251
2018-08-05 01:00:00,13596.00243759935
2018-08-05 02:00:00,12919.275334971366
2018-08-05 03:00:00,12507.034882150363
2018-08-05 04:00:00,12262.311314512186
2018-08-05 05:00:00,12298.532069698287
2018-08-05 06:00:00,12672.065883374935
2018-08-05 07:00:00,13284.87771339408
2018-08-05 08:00:00,13870.281732230873
2018-08-05 09:00:00,14533.518462277187
2018-08-05 10:00:00,15181.75337619216
2018-08-05 11:00:00,15905.072625315848
2018-08-05 12:00:00,16493.882663434288
2018-08-05 13:00:00,17082.40974569029
2018-08-05 14:00:00,17583.742672167544
2018-08-05 15:00:00,17895.667334506994
2018-08-05 16:00:00,18059.139968530017
2018-08-05 17:00:00,18147.715617328828
2018-08-05 18:00:00,18105.944515169896
2018-08-05 19:00:00,17792.13485093342
2018-08-05 20:00:00,17344.97430202855
2018-08-05 21:00:00,16912.73668348161
2018-08-05 22:00:00,16572.497219245437
2018-08-05 23:00:00,15598.939567279427
2018-08-06 00:00:00,14431.525633192272
2018-08-06 01:00:00,13515.989287542456
2018-08-06 02:00:00,12841.200958171883
2018-08-06 03:00:00,12437.439731765699
2018-08-06 04:00:00,12195.859712665939
2018-08-06 05:00:00,12240.561170657744
2018-08-06 06:00:00,12625.010951133168
2018-08-06 07:00:00,13252.310859572635
2018-08-06 08:00:00,13843.577664755387
2018-08-06 09:00:00,14501.880668126854
2018-08-06 10:00:00,15144.237418282833
2018-08-06 11:00:00,15869.60481268615
2018-08-06 12:00:00,16462.17815710902
2018-08-06 13:00:00,17061.140336360146
2018-08-06 14:00:00,17570.982179014227
2018-08-06 15:00:00,17892.006902613983
2018-08-06 16:00:00,18063.183209960796
2018-08-06 17:00:00,18151.256350594223
2018-08-06 18:00:00,18098.438040611487
2018-08-06 19:00:00,17779.936230190822
2018-08-06 20:00:00,17333.91903004542
2018-08-06 21:00:00,16905.330286603086
2018-08-06 22:00:00,16567.91950997817
2018-08-06 23:00:00,15592.470212122646
2018-08-07 00:00:00,14426.651756819874
2018-08-07 01:00:00,13512.713837203288
2018-08-07 02:00:00,12837.933062327073
2018-08-07 03:00:00,12435.649593292985
2018-08-07 04:00:00,12194.666666500738
2018-08-07 05:00:00,12240.46108904828
2018-08-07 06:00:00,12626.593846147778
2018-08-07 07:00:00,13255.51532283658
2018-08-07 08:00:00,13847.342435764944
2018-08-07 09:00:00,14504.747233244738
2018-08-07 10:00:00,15145.963125633063
2018-08-07 11:00:00,15873.218078054442
2018-08-07 12:00:00,16466.96999795858
2018-08-07 13:00:00,17068.413439643635
2018-08-07 14:00:00,17580.5330738254
2018-08-07 15:00:00,17904.35350523711
2018-08-07 16:00:00,18077.659039332175
2018-08-07 17:00:00,18165.88080124506
2018-08-07 18:00:00,18109.785917121386
2018-08-07 19:00:00,17790.006415972326
2018-08-07 20:00:00,17342.950933833836
2018-08-07 21:00:00,16912.938954040234
2018-08-07 22:00:00,16575.384135443095
2018-08-07 23:00:00,15599.002268121685
2018-08-08 00:00:00,14433.077599825716
2018-08-08 01:00:00,13518.773131722539
2018-08-08 02:00:00,12843.908649619323
